,length,height,width,thickness,length*heigth*width (Ordering Cabins)
0,1.52,0.5,0.5,0.004,0.38
1,1.52,0.5,0.5,0.008,0.38
2,1.52,0.5,0.5,0.012,0.38
3,1.91,0.5,0.5,0.004,0.4775
4,1.91,0.5,0.5,0.008,0.4775
5,1.91,0.5,0.5,0.012,0.4775
6,1.52,0.66,0.5,0.004,0.5016
7,1.52,0.66,0.5,0.008,0.5016
8,1.52,0.66,0.5,0.012,0.5016
9,2.39,0.5,0.5,0.004,0.5975
10,2.39,0.5,0.5,0.008,0.5975
11,2.39,0.5,0.5,0.012,0.5975
12,1.52,0.5,0.79,0.004,0.6004
13,1.52,0.5,0.79,0.008,0.6004
14,1.52,0.5,0.79,0.012,0.6004
15,1.91,0.66,0.5,0.004,0.6303
16,1.91,0.66,0.5,0.008,0.6303
17,1.91,0.66,0.5,0.012,0.6303
18,1.52,0.88,0.5,0.004,0.6688000000000001
19,1.52,0.88,0.5,0.008,0.6688000000000001
20,1.52,0.88,0.5,0.012,0.6688000000000001
21,3,0.5,0.5,0.004,0.75
22,3,0.5,0.5,0.008,0.75
23,3,0.5,0.5,0.012,0.75
24,1.91,0.5,0.79,0.004,0.75445
25,1.91,0.5,0.79,0.008,0.75445
26,1.91,0.5,0.79,0.012,0.75445
27,2.39,0.66,0.5,0.004,0.7887000000000001
28,2.39,0.66,0.5,0.008,0.7887000000000001
29,2.39,0.66,0.5,0.012,0.7887000000000001
30,1.52,0.66,0.79,0.004,0.7925280000000001
31,1.52,0.66,0.79,0.008,0.7925280000000001
32,1.52,0.66,0.79,0.012,0.7925280000000001
33,1.91,0.88,0.5,0.004,0.8403999999999999
34,1.91,0.88,0.5,0.008,0.8403999999999999
35,1.91,0.88,0.5,0.012,0.8403999999999999
36,1.52,1.17,0.5,0.004,0.8892
37,1.52,1.17,0.5,0.008,0.8892
38,1.52,1.17,0.5,0.012,0.8892
39,2.39,0.5,0.79,0.004,0.9440500000000001
40,2.39,0.5,0.79,0.008,0.9440500000000001
41,2.39,0.5,0.79,0.012,0.9440500000000001
42,1.52,0.5,1.26,0.004,0.9576
43,1.52,0.5,1.26,0.008,0.9576
44,1.52,0.5,1.26,0.012,0.9576
45,3,0.66,0.5,0.004,0.99
46,3,0.66,0.5,0.008,0.99
47,3,0.66,0.5,0.012,0.99
48,1.91,0.66,0.79,0.004,0.995874
49,1.91,0.66,0.79,0.008,0.995874
50,1.91,0.66,0.79,0.012,0.995874
51,2.39,0.88,0.5,0.004,1.0516
52,2.39,0.88,0.5,0.008,1.0516
53,2.39,0.88,0.5,0.012,1.0516
54,1.52,0.88,0.79,0.004,1.056704
55,1.52,0.88,0.79,0.008,1.056704
56,1.52,0.88,0.79,0.012,1.056704
57,1.91,1.17,0.5,0.004,1.1173499999999998
58,1.91,1.17,0.5,0.008,1.1173499999999998
59,1.91,1.17,0.5,0.012,1.1173499999999998
60,3,0.5,0.79,0.004,1.185
61,3,0.5,0.79,0.008,1.185
62,3,0.5,0.79,0.012,1.185
63,1.91,0.5,1.26,0.004,1.2033
64,1.91,0.5,1.26,0.008,1.2033
65,1.91,0.5,1.26,0.012,1.2033
66,2.39,0.66,0.79,0.004,1.2461460000000002
67,2.39,0.66,0.79,0.008,1.2461460000000002
68,2.39,0.66,0.79,0.012,1.2461460000000002
69,1.52,0.66,1.26,0.004,1.264032
70,1.52,0.66,1.26,0.008,1.264032
71,1.52,0.66,1.26,0.012,1.264032
72,3,0.88,0.5,0.004,1.32
73,3,0.88,0.5,0.008,1.32
74,3,0.88,0.5,0.012,1.32
75,1.91,0.88,0.79,0.004,1.327832
76,1.91,0.88,0.79,0.008,1.327832
77,1.91,0.88,0.79,0.012,1.327832
78,2.39,1.17,0.5,0.004,1.39815
79,2.39,1.17,0.5,0.008,1.39815
80,2.39,1.17,0.5,0.012,1.39815
81,1.52,1.17,0.79,0.004,1.404936
82,1.52,1.17,0.79,0.008,1.404936
83,1.52,1.17,0.79,0.012,1.404936
84,2.39,0.5,1.26,0.004,1.5057
85,2.39,0.5,1.26,0.008,1.5057
86,2.39,0.5,1.26,0.012,1.5057
87,1.52,0.5,2,0.004,1.52
88,1.52,0.5,2,0.008,1.52
89,1.52,0.5,2,0.012,1.52
90,3,0.66,0.79,0.004,1.5642
91,3,0.66,0.79,0.008,1.5642
92,3,0.66,0.79,0.012,1.5642
93,1.91,0.66,1.26,0.004,1.5883559999999999
94,1.91,0.66,1.26,0.008,1.5883559999999999
95,1.91,0.66,1.26,0.012,1.5883559999999999
96,2.39,0.88,0.79,0.004,1.6615280000000001
97,2.39,0.88,0.79,0.008,1.6615280000000001
98,2.39,0.88,0.79,0.012,1.6615280000000001
99,1.52,0.88,1.26,0.004,1.6853760000000002
100,1.52,0.88,1.26,0.008,1.6853760000000002
101,1.52,0.88,1.26,0.012,1.6853760000000002
102,3,1.17,0.5,0.004,1.755
103,3,1.17,0.5,0.008,1.755
104,3,1.17,0.5,0.012,1.755
105,1.91,1.17,0.79,0.004,1.765413
106,1.91,1.17,0.79,0.008,1.765413
107,1.91,1.17,0.79,0.012,1.765413
108,3,0.5,1.26,0.004,1.8900000000000001
109,3,0.5,1.26,0.008,1.8900000000000001
110,3,0.5,1.26,0.012,1.8900000000000001
111,1.91,0.5,2,0.004,1.91
112,1.91,0.5,2,0.008,1.91
113,1.91,0.5,2,0.012,1.91
114,2.39,0.66,1.26,0.004,1.9875240000000003
115,2.39,0.66,1.26,0.008,1.9875240000000003
116,2.39,0.66,1.26,0.012,1.9875240000000003
117,1.52,0.66,2,0.004,2.0064
118,1.52,0.66,2,0.008,2.0064
119,1.52,0.66,2,0.012,2.0064
120,3,0.88,0.79,0.004,2.0856000000000003
