,length,height,width,thickness,length*heigth*width (Ordering Cabins)
121,3,0.88,0.79,0.008,2.0856000000000003
122,3,0.88,0.79,0.012,2.0856000000000003
123,1.91,0.88,1.26,0.004,2.1178079999999997
124,1.91,0.88,1.26,0.008,2.1178079999999997
125,1.91,0.88,1.26,0.012,2.1178079999999997
126,2.39,1.17,0.79,0.004,2.209077
127,2.39,1.17,0.79,0.008,2.209077
128,2.39,1.17,0.79,0.012,2.209077
129,1.52,1.17,1.26,0.004,2.240784
130,1.52,1.17,1.26,0.008,2.240784
131,1.52,1.17,1.26,0.012,2.240784
132,2.39,0.5,2,0.004,2.39
133,2.39,0.5,2,0.008,2.39
134,2.39,0.5,2,0.012,2.39
135,3,0.66,1.26,0.004,2.4948
136,3,0.66,1.26,0.008,2.4948
137,3,0.66,1.26,0.012,2.4948
138,1.91,0.66,2,0.004,2.5212
139,1.91,0.66,2,0.008,2.5212
140,1.91,0.66,2,0.012,2.5212
141,2.39,0.88,1.26,0.004,2.6500320000000004
142,2.39,0.88,1.26,0.008,2.6500320000000004
143,2.39,0.88,1.26,0.012,2.6500320000000004
144,1.52,0.88,2,0.004,2.6752000000000002
145,1.52,0.88,2,0.008,2.6752000000000002
146,1.52,0.88,2,0.012,2.6752000000000002
147,3,1.17,0.79,0.004,2.7729
148,3,1.17,0.79,0.008,2.7729
149,3,1.17,0.79,0.012,2.7729
150,1.91,1.17,1.26,0.004,2.8157219999999996
151,1.91,1.17,1.26,0.008,2.8157219999999996
152,1.91,1.17,1.26,0.012,2.8157219999999996
153,3,0.5,2,0.004,3
154,3,0.5,2,0.008,3
155,3,0.5,2,0.012,3
156,2.39,0.66,2,0.004,3.1548000000000003
157,2.39,0.66,2,0.008,3.1548000000000003
158,2.39,0.66,2,0.012,3.1548000000000003
159,3,0.88,1.26,0.004,3.3264
160,3,0.88,1.26,0.008,3.3264
161,3,0.88,1.26,0.012,3.3264
162,1.91,0.88,2,0.004,3.3615999999999997
163,1.91,0.88,2,0.008,3.3615999999999997
164,1.91,0.88,2,0.012,3.3615999999999997
165,2.39,1.17,1.26,0.004,3.523338
166,2.39,1.17,1.26,0.008,3.523338
167,2.39,1.17,1.26,0.012,3.523338
168,1.52,1.17,2,0.004,3.5568
169,1.52,1.17,2,0.008,3.5568
170,1.52,1.17,2,0.012,3.5568
171,3,0.66,2,0.004,3.96
172,3,0.66,2,0.008,3.96
173,3,0.66,2,0.012,3.96
174,2.39,0.88,2,0.004,4.2064
175,2.39,0.88,2,0.008,4.2064
176,2.39,0.88,2,0.012,4.2064
177,3,1.17,1.26,0.004,4.4226
178,3,1.17,1.26,0.008,4.4226
179,3,1.17,1.26,0.012,4.4226
180,1.91,1.17,2,0.004,4.469399999999999
181,1.91,1.17,2,0.008,4.469399999999999
182,1.91,1.17,2,0.012,4.469399999999999
183,3,0.88,2,0.004,5.28
184,3,0.88,2,0.008,5.28
185,3,0.88,2,0.012,5.28
186,2.39,1.17,2,0.004,5.5926
187,2.39,1.17,2,0.008,5.5926
188,2.39,1.17,2,0.012,5.5926
189,3,1.17,2,0.004,7.02
190,3,1.17,2,0.008,7.02
191,3,1.17,2,0.012,7.02
