,length,height,width,angle of attack,length*heigth*width (Ordering Wings)
49,0.05,0.2,3.0,0.157,0.030000000000000006
53,0.05,0.2,3.0,0.785,0.030000000000000006
52,0.05,0.2,3.0,0.628,0.030000000000000006
78,0.3,0.05,2.54,0.0,0.0381
79,0.3,0.05,2.54,0.157,0.0381
80,0.3,0.05,2.54,0.314,0.0381
81,0.3,0.05,2.54,0.471,0.0381
82,0.3,0.05,2.54,0.628,0.0381
83,0.3,0.05,2.54,0.785,0.0381
84,0.3,0.05,3.0,0.0,0.045
85,0.3,0.05,3.0,0.157,0.045
86,0.3,0.05,3.0,0.314,0.045
87,0.3,0.05,3.0,0.471,0.045
88,0.3,0.05,3.0,0.628,0.045
89,0.3,0.05,3.0,0.785,0.045
150,0.55,0.05,2.54,0.0,0.06985000000000001
151,0.55,0.05,2.54,0.157,0.06985000000000001
152,0.55,0.05,2.54,0.314,0.06985000000000001
153,0.55,0.05,2.54,0.471,0.06985000000000001
154,0.55,0.05,2.54,0.628,0.06985000000000001
155,0.55,0.05,2.54,0.785,0.06985000000000001
60,0.05,0.55,2.54,0.0,0.06985000000000001
61,0.05,0.55,2.54,0.157,0.06985000000000001
62,0.05,0.55,2.54,0.314,0.06985000000000001
63,0.05,0.55,2.54,0.471,0.06985000000000001
64,0.05,0.55,2.54,0.628,0.06985000000000001
65,0.05,0.55,2.54,0.785,0.06985000000000001
70,0.05,0.55,3.0,0.628,0.08250000000000002
71,0.05,0.55,3.0,0.785,0.08250000000000002
66,0.05,0.55,3.0,0.0,0.08250000000000002
67,0.05,0.55,3.0,0.157,0.08250000000000002
68,0.05,0.55,3.0,0.314,0.08250000000000002
69,0.05,0.55,3.0,0.471,0.08250000000000002
161,0.55,0.05,3.0,0.785,0.08250000000000002
156,0.55,0.05,3.0,0.0,0.08250000000000002
157,0.55,0.05,3.0,0.157,0.08250000000000002
158,0.55,0.05,3.0,0.314,0.08250000000000002
159,0.55,0.05,3.0,0.471,0.08250000000000002
160,0.55,0.05,3.0,0.628,0.08250000000000002
101,0.3,0.125,2.54,0.785,0.09525
96,0.3,0.125,2.54,0.0,0.09525
97,0.3,0.125,2.54,0.157,0.09525
98,0.3,0.125,2.54,0.314,0.09525
100,0.3,0.125,2.54,0.628,0.09525
99,0.3,0.125,2.54,0.471,0.09525
107,0.3,0.125,3.0,0.785,0.11249999999999999
102,0.3,0.125,3.0,0.0,0.11249999999999999
103,0.3,0.125,3.0,0.157,0.11249999999999999
104,0.3,0.125,3.0,0.314,0.11249999999999999
105,0.3,0.125,3.0,0.471,0.11249999999999999
106,0.3,0.125,3.0,0.628,0.11249999999999999
116,0.3,0.2,2.54,0.314,0.1524
119,0.3,0.2,2.54,0.785,0.1524
118,0.3,0.2,2.54,0.628,0.1524
117,0.3,0.2,2.54,0.471,0.1524
115,0.3,0.2,2.54,0.157,0.1524
114,0.3,0.2,2.54,0.0,0.1524
173,0.55,0.125,2.54,0.785,0.17462500000000003
172,0.55,0.125,2.54,0.628,0.17462500000000003
171,0.55,0.125,2.54,0.471,0.17462500000000003
