,Material,Code,q,E,q (Ordering materials)
0,Polyethylene (HDPE),HDPE,900,900000000,900
1,Nylon 6/6,N66,1150,2400000000,1150
2,Epoxy,EPY,1250,3350000000,1250
3,Kevlar epoxy (53%),KE,1350,63600000000,1350
4,Glass-filled nylon (35%),GFN,1600,14900000000,1600
5,S-glass epoxy (45%),SGE,1800,39500000000,1800
6,Glass-filled epoxy (35%),GFE,1900,25000000000,1900
7,Glass-filled polyester (35%),GFP,2000,15700000000,2000
8,Aluminum 2045-T4,AT4,2700,73000000000,2700
9,MgO,MGO,3600,205000000000,3600
10,Alumina,ALA,3800,350000000000,3800
11,"Cast Iron, grade 20",CI20,7150,100000000000,7150
12,"Steel, AISI 1045",S1045,7700,205000000000,7700
